dtype,method,rmse,r2
multi,multirocket,27.278694778104576,-1.1444587573400287
multi,catch22,9.498570677837535,0.7399918013778819
multi,summary,12.074626255861919,0.5798368898595101
multi,tsfresh,8.498031481613845,0.7918831727305475
multi,fcn,17.78465338742466,0.08849021293707338
multi,cnn,17.630309673743465,0.1042425959882064
multi,inception,15.440823099626007,0.3129134928128413
multi,resnet,16.856212167327037,0.18117611345837448
multi,tapnet,17.539707061720797,0.11342557979545131
uni_mean,linreg,25.806521693757652,-0.9192408124794935
uni_mean,ridgecv,9.134796817440472,0.7595258994353874
uni_mean,pls5,13.261353841866207,0.4931887443251308
uni_mean,pls10,11.936165045434276,0.5894177637122564
uni_med,linreg,14.45637166165876,0.3977329059942062
uni_med,ridgecv,9.261708063028129,0.752797590072737
uni_med,pls5,11.24608616857247,0.6355203051557434
uni_med,pls10,9.449836431229608,0.7426530012190365
uni_p_25,linreg,22.293363508620544,-0.4322595288976774
uni_p_25,ridgecv,10.953888467133877,0.6542142001429148
uni_p_25,pls5,11.012620738524824,0.6504962088455706
uni_p_25,pls10,24.573437944476893,-0.7402128311557832
uni_p_75,linreg,11.080928253259328,0.6461470577697959
uni_p_75,ridgecv,9.493899357537918,0.7402474783542972
uni_p_75,pls5,10.720647413099716,0.6687830519999953
uni_p_75,pls10,12.799381620740924,0.5278842366761943
uni_flatten,linreg,21.149806110490555,-0.2890901974390305
uni_flatten,ridgecv,21.132554704241752,-0.28698809316360285
uni_flatten,pls5,18.174876583905785,0.048051473082977525
uni_flatten,pls10,23.0626758400941,-0.5328156106779833
